门店编码	美团门店id	门店名称	地址	省级分部描述	门店类型描述	电话	负责人电话	市级分部描述	城市描述	管理地区	片区	更新时间	开店日期	关店日期	经度	纬度
A186	209	开远泸江分店	开远市灵泉西路76、77、78号	云南分部	药店	0873-7239788	0873-7239788	红河分部	开远	红河二区	红河二区06	2022/7/26 15:00	2006/4/13 0:00		23.708107	103.256226
A187	211	昆明润城五福临分店	昆明市西山区前卫街道办事前卫路与林荫大道交叉口润城小区五区7幢18,1	云南分部	药店	0871-68252602	0871-68252602	昆明二部	昆明	昆明西区	昆明西区04	2022/7/26 15:05	2019/12/31 0:00		25.000228	102.704708
A188	212	曲靖环城东路分店	曲靖市环城东路（东星小区路口）6号	云南分部	药店	0874-3339092	0874-3339092	曲靖分部	曲靖	曲靖南区	曲靖南区01	2022/7/26 15:20	2006/4/23 0:00		25.499461	103.816644
A189	213	楚雄东门街分店	楚雄市鹿城镇中大街232号一楼铺面	云南分部	药店	0878-3130068	0873-2123238	楚雄分部	楚雄	楚雄二区	楚雄二区04	2022/7/26 14:24	2006/4/29 0:00		25.028986	101.545903
A191	215	大理幸福路分店	大理市下关幸福路与龙溪路交汇口商铺	云南分部	药店	0872-2120232	0872-2120232	大理分部	大理	大理北区	大理北区02	2022/7/26 15:06	2006/5/10 0:00		25.580865	100.217141
A192	216	大理太和苑分店	大理市下关荷花村太和苑11-16号	云南分部	药店	0872-2204846	0872-2204846	大理分部	大理	大理北区	大理北区02	2022/7/26 15:15	2006/5/22 0:00		25.608345	100.209048
A195	1113	成都黉门街店	成都市簧门街8号附1号至4号	四川分部	药店	028-85556655	028-85556655	四川分部	成都	成都地区	成都02	2022/8/9 14:50	2006/7/1 0:00		30.645434	104.062425
A196	1112	成都建设路店	成都市成华区建设路8号1栋1层	四川分部	药店	028-84381238	028-84381238	四川分部	成都	成都地区	成都04	2022/12/3 11:37	2006/7/1 0:00		30.669056	104.111767
A197	1110	成都石人北路店	成都市青羊区石人北路51号C幢2、3号	四川分部	药店	028-87329809	028-87329809	四川分部	成都	成都地区	成都04	2022/8/13 9:40	2006/7/1 0:00		30.6762	104.028741
A201	1077	成都沙湾路一店	成都市金牛区沙湾路23号.25号1楼19号	四川分部	药店	028-87700087	028-87700087	四川分部	成都	成都地区	成都04	2022/10/8 10:34	2006/7/1 0:00		30.686537	104.051933
A204	220	大理花韵蓝湾分店	云南省大理市下关花韵蓝湾1-29、1-30、1-31号商铺	云南分部	药店	0872-2251057	0872-2251057	大理分部	大理	大理北区	大理北区02	2022/7/26 15:15	2006/7/27 0:00		25.604117	100.215962
A205	221	澄江揽秀园分店	澄江县凤麓镇揽秀园商贸区3008幢314号一楼	云南分部	药店	0877-6910018	0877-6910018	玉溪分部	澄江	玉溪地区	玉溪04	2022/7/26 14:28	2006/7/31 0:00		24.670882	102.915728
A206	222	志远大厦分店	昆明市志远大厦第一层A1座	云南分部	药店	0871-6858840	0871-6858840	昆明一部	昆明	昆明北区	昆明北区04	2022/9/23 11:12	2006/7/31 0:00		25.036111	102.71668
A208	224	华昌路分店	昆明市永昌路营业室职工宿舍一层	云南分部	药店	0871-64198915	0871-64198915	昆明二部	昆明	昆明西区	昆明西区06	2022/8/17 14:19	2006/8/2 0:00		25.019791	102.704733
A209	225	个旧建设路分店	个旧市建设路219号附K1,K2号商铺	云南分部	药店	0873-3025501	0873-3025501	红河分部	个旧	红河一区	红河一区05	2022/7/26 15:10	2006/8/11 0:00		23.38102	103.157353
A210	226	白马东碧分店	昆明市白马小区东碧组团一层铺面	云南分部	药店	0871-68220203	0871-68220203	昆明二部	昆明	昆明西区	昆明西区07	2022/9/17 15:17	2006/8/23 0:00			
A211	227	西站分店	昆明市五华区滇缅大道99号金通苑小区A座	云南分部	药店	0871-65311011	0871-65311011	昆明一部	昆明	昆明北区	昆明北区05	2022/11/10 15:45	2006/9/10 0:00		25.052706	102.690738
A212	228	曲靖通优小区分店	曲靖市南宁北路曲靖通优A幢(曲靖市教场东路26号曲靖通优铂金)	云南分部	药店	0874-3146418	0874-3146418	曲靖分部	曲靖	曲靖北区	曲靖北区02	2022/11/4 16:10	2006/9/15 0:00		25.511482	103.806459
A213	229	马龙龙泉路分店	曲靖市马龙县通泉镇龙泉路1栋1楼临街商铺	云南分部	药店	0874-8885390	0874-8885390	曲靖分部	马龙	曲靖南区	曲靖南区04	2022/7/26 15:20	2006/9/28 0:00		25.427366	103.579697
A215	230	大理文昌街分店	云南省大理州大理市经济开发区文华路221号1-2层	云南分部	药店	0872-2328378	0872-2328378	大理分部	大理	大理南区	大理南区01	2022/7/26 15:15	2006/10/15 0:00		25.592242	100.242848
A216	231	盈江路分店	昆明市江岸小区盈江路48号、50号	云南分部	药店	0871-65152565	0871-65152565	昆明一部	昆明	昆明北区	昆明北区04	2022/8/13 13:43	2006/10/26 0:00		25.065176	102.711338
A217	1142	成都大弯中路店	成都市青白江区大弯中路99-103号	四川分部	药店	028-83611189	028-83611189	四川分部	成都	成都地区	成都05	2022/8/22 16:54	2006/10/27 0:00		30.874783	104.269238
A218	232	曲靖南城门分店	曲靖市麒麟区子午路办公楼下房屋1间	云南分部	药店	0874-3212178	0874-3212178	曲靖分部	曲靖	曲靖南区	曲靖南区02	2022/7/26 15:10	2006/10/28 0:00		25.480202	103.798961
A222	236	书香门第分店	昆明市北市区烟草二号路书香门第第AA座1-101号	云南分部	药店	0871-65884622	0871-63178012	昆明一部	昆明	昆明北区	昆明北区01	2022/7/26 15:18	2006/11/13 0:00		25.107477	102.734699
A224	237	个旧大屯分店	个旧市大屯大兴路众鑫楼(大兴路与紫金街交口转角位商铺)	云南分部	药店	0873-2846268	0873-2846268	红河分部	个旧大屯	红河一区	红河一区04	2022/7/26 15:10	2006/11/17 0:00		23.402915	103.284763
A225	238	兴隆二期分店	昆明市兴苑路兴隆小区二期1幢A-8附1号商铺	云南分部	药店	0871-68222150	0871-63122390	昆明二部	昆明	昆明西区	昆明西区08	2022/12/8 17:40	2006/11/17 0:00		25.035789	102.666345
A226	239	文山建禾西路分店	文山市建禾西路师专路口1幢102号1层商铺	云南分部	药店	0876-3062576	0876-3062576	文山分部	文山	文山地区	文山02	2022/12/7 16:47	2006/11/18 0:00		23.359046	104.248053
A227	240	永胜路分店	昆明市永胜路39、41号商铺	云南分部	药店	0871-63538873	0871-63538873	昆明二部	昆明	昆明南区	昆明南区03	2022/11/23 17:55	2006/11/24 0:00		25.021954	102.723078
A229	242	恒信花园分店	昆明市恒信花园F幢11-12号商铺	云南分部	药店	0871-64165221	0871-64165221	昆明二部	昆明	昆明西区	昆明西区07	2022/9/14 14:33	2006/11/29 0:00		25.023136	102.69507
A231	244	法苑小区分店	昆明市南市区杨家地片区法苑小区9幢15-16号商铺	云南分部	药店	0871-64607709	0871-64607709	昆明二部	昆明	昆明西区	昆明西区04	2022/9/21 18:08	2006/12/5 0:00		25.00219	102.688654
A232	245	美丽新世界分店	昆明市昌源中路美丽新世界1幢第1层1-2号商铺	云南分部	药店	0871-68196776	0871-68196776	昆明一部	昆明	昆明北区	昆明北区06	2022/11/1 15:55	2006/12/7 0:00		25.052065	102.653197
A234	246	曲靖梅苑巷分店	曲靖市梅苑巷20号、22号商铺	云南分部	药店	0874-3310162	0874-3310162	曲靖分部	曲靖	曲靖南区	曲靖南区05	2022/7/26 15:10	2006/12/14 0:00		25.496846	103.786692
A235	247	楚雄天河园分店	楚雄市开发区团结路熙合人家小区3幢1-4号商铺	云南分部	药店	0878-3397400	0878-3397400	楚雄分部	楚雄	楚雄二区	楚雄二区03	2022/7/26 15:08	2006/12/15 0:00		25.049096	101.551534
A236	248	世纪城分店	昆明世纪城S段1-15号商铺	云南分部	药店	0871-67211930	0871-67211930	昆明二部	昆明	昆明南区	昆明南区06	2022/10/11 9:28	2006/12/15 0:00		24.962921	102.749801
A237	249	沾益龙华北路分店	沾益县龙华北路临街商铺	云南分部	药店	0874-3338315	0874-3338315	曲靖分部	沾益	曲靖北区	曲靖北区03	2022/8/3 11:09	2006/12/29 0:00		25.605195	103.821917
A239	251	盛世岭南分店	昆明市盛世岭南C幢日新路3481号	云南分部	药店	0871-63578015	0871-63578015	昆明二部	昆明	昆明南区	昆明南区05	2022/10/19 14:43	2007/1/4 0:00		25.000052	102.721852
A240	252	南诏苑分店	昆明市南诏园小区1幢1单元附3号、1幢2单元附1号商铺	云南分部	药店	0871-64630601	0871-64630601	昆明二部	昆明	昆明西区	昆明西区04	2022/9/21 18:05	2007/1/12 0:00		25.015735	102.679237
A241	253	弥勒喷泉分店	云南省红河州弥勒市喷泉巨人世纪广场1-1-4壹间	云南分部	药店	0873-6126726	0873-6126726	红河分部	弥勒	红河二区	红河二区02	2022/8/24 11:29	2020/7/1 0:00		24.407688	103.435565
A242	254	汇和花园分店	昆明市虹山南路14号汇和花园一单元C幢101-102号商铺	云南分部	药店	0871-65363352	0871-65363352	昆明一部	昆明	昆明北区	昆明北区05	2022/9/21 14:19	2007/2/1 0:00		25.057301	102.688275
A243	255	体育城商业街分店	昆明市官渡区新亚洲体育城星天地商业广场S13-105,106,107,108,109,110,111号	云南分部	药店	0871-67374136	0871-67374136	昆明二部	昆明	昆明南区	昆明南区08	2022/11/18 19:28	2007/2/2 0:00		24.946549	102.764344
A244	256	大理滇源路分店	云南省大理白族自治州经济技术开发区文昌街（滇源路广源楼14-17号）	云南分部	药店	0872-2318767	0872-2318767	大理分部	大理	大理南区	大理南区02	2022/7/26 14:23	2007/2/5 0:00		25.588394	100.243222
A245	257	大理海天苑分店	大理市下关榆华路20号京津地产海天苑小区3号、1-附3号商铺	云南分部	药店	0872-2291738	0872-2291738	大理分部	大理	大理北区	大理北区01	2022/7/26 15:06	2007/2/5 0:00		25.603193	100.222143
A246	258	西贡码头分店	昆明市滇池路西贡码头商住美食街第3幢	云南分部	药店	0871-64312422	0871-64312422	昆明二部	昆明	昆明西区	昆明西区03	2022/9/8 16:15	2007/2/10 0:00		24.984539	102.659636
A247	259	大理兴国路分店	云南省大理白族自治州大理市下关兴国路兴泰小区18、19号	云南分部	药店	0872-2293658	0872-2293658	大理分部	大理	大理北区	大理北区02	2022/7/26 15:15	2007/2/15 0:00		25.59512	100.218764
A249	261	曲靖胜峰小区分店	曲靖市胜峰路21号临街商铺	云南分部	药店	0874-6069504	0874-6069504	曲靖分部	曲靖	曲靖南区	曲靖南区02	2022/7/26 15:16	2007/3/17 0:00		25.493701	103.784592
A250	262	世纪城中心分店	昆明世纪城四方街B栋	云南分部	药店	0871-68032970	0871-68032970	昆明二部	昆明	昆明南区	昆明南区06	2022/10/11 9:28	2007/3/20 0:00		24.965077	102.752665
A251	263	教场中路分店	昆明市五华区教场中路294号1幢1层1-1号商铺	云南分部	药店	0871-65363352	0871-65363352	昆明一部	昆明	昆明北区	昆明北区03	2022/8/13 13:50	2007/3/20 0:00		25.064794	102.69771
A252	264	玉溪玉兴路分店	玉溪市红塔区玉兴路76号	云南分部	药店	0877-2016469	0877-2016469	玉溪分部	玉溪	玉溪地区	玉溪02	2022/7/26 15:18	2007/3/30 0:00		24.35783	102.545382
A253	265	大理古城复兴路分店	大理古城复兴路336号-338号	云南分部	药店	0872-2674998	0872-2674998	大理分部	大理古城	大理北区	大理北区01	2022/10/22 9:53	2007/3/30 0:00		25.693297	100.161289
A254	266	石林莲花路分店	石林县莲花路加油站C栋一楼商铺	云南分部	药店	0871-67791019	0871-67791019	昆明二部	石林	昆明西区	昆明西区10	2022/7/26 15:09	2007/4/3 0:00		24.762286	103.27249
A255	267	郦岛嘉园分店	昆明市市博园上东区文心居12、13号商铺	云南分部	药店	0871-65743861	0871-65743861	昆明一部	昆明	昆明东区	昆明东区05	2022/8/11 15:03	2007/4/3 0:00		25.063117	102.749799
A256	268	阳光昊苑分店	昆明市滇池路船房河以北阳光花园昊苑76-77号商铺	云南分部	药店	0871-68224485	0871-68224485	昆明二部	昆明	昆明西区	昆明西区04	2022/9/21 17:58	2007/4/4 0:00		25.01219	102.676394
A257	269	玉溪许家湾分店	玉溪市红塔区南北大街国美电器旁	云南分部	药店	0877-2015849	0877-2015849	玉溪分部	玉溪	玉溪地区	玉溪02	2022/7/26 15:08	2007/4/6 0:00		24.361386	102.547572
A258	774	成都花牌坊街店	成都市金牛区花牌坊街8号1幢1单元109、110号	四川分部	药店	028-87710382	028-87710382	四川分部	成都	成都地区	成都04	2022/11/15 11:54	2007/4/10 0:00		30.678201	104.047875
A259	270	阳光花园分店	昆明市西山区阳光花园旭苑125、126号商铺	云南分部	药店	0871-64610028	0871-64610028	昆明二部	昆明	昆明西区	昆明西区04	2022/9/21 17:54	2007/4/17 0:00		25.009666	102.675966
A260	271	金马寺分店	昆明市东风东路延长线金马寺昆明市供销社旧货交易市场一楼商铺	云南分部	药店	0871-63829223	0871-63829223	昆明二部	昆明	昆明南区	昆明南区01	2022/7/26 15:05	2007/4/19 0:00		25.033357	102.747334
A261	272	文山七花广场分店	文山市开化镇金石路(三笑园)	云南分部	药店	0876-3062532	0876-3062532	文山分部	文山	文山地区	文山14	2022/11/22 16:22	2007/4/26 0:00		23.38121	104.224653
A262	273	远洋风景分店	昆明市烟草二号路远洋风景小区8幢3-1号、3-2号商铺	云南分部	药店	0871-63115042	0871-63115042	昆明一部	昆明	昆明北区	昆明北区02	2022/7/26 15:05	2007/4/29 0:00		25.102719	102.726679
A264	275	大理学院古城分店	大理大学古城校区商贸街J5区111号	云南分部	药店	0872-2219028	0872-2219028	大理分部	大理	大理北区	大理北区01	2022/10/24 9:27	2007/5/3 0:00		25.66776	100.15643
A265	276	大理南涧路分店	大理市下关镇南涧路89号一楼临街房屋2间	云南分部	药店	0872-2198068	0872-2198068	大理分部	大理	大理北区	大理北区02	2022/7/26 15:09	2021/5/19 0:00		25.574169	100.215698
A266	277	大理沧浪路分店	云南省大理州经济开发区下关沧浪路中段	云南分部	药店	0872-2187879	0872-2187879	大理分部	大理	大理南区	大理南区03	2022/7/26 14:24	2007/5/20 0:00		25.590237	100.239742
A268	279	西秀园分店	昆明市西秀园小区4号商铺	云南分部	药店	0871-68327517	0871-68327517	昆明一部	昆明	呈贡新区	呈贡新区01	2022/7/26 14:46	2007/5/24 0:00		25.05955	102.65907
A270	782	成都净居寺南街店	成都市锦江区净居寺南街17号附2-3号	四川分部	药店	028-84593683	028-84593683	四川分部	成都	成都地区	成都04	2022/8/13 10:25	2007/5/31 0:00		30.623428	104.102768
A271	281	昆明吾悦华府分店	昆明市五华区普吉街道办事处吾悦华府小区1幢11,12号	云南分部	药店	0871-64614579	0871-64614579...	昆明一部	昆明	昆明北区	昆明北区07	2022/10/10 16:10	2019/9/20 0:00		25.089515	102.660885
A272	282	保山正阳北路分店	保山市隆阳区正阳北路244号	云南分部	药店	0875-3066952	0875-3066952	保山分部	保山	保山地区	保山01	2022/8/12 17:18	2007/6/2 0:00		25.124647	99.168954
A275	285	普洱月光路分店	普洱市月光路2号	云南分部	药店	0879-2144589	0879-2144589	普洱景洪分部	普洱	普洱一区	普洱一区07	2022/10/17 11:13	2007/6/9 0:00		22.777855	100.974965
A276	286	陆良同乐大道分店	陆良县同乐大道78号临街商铺	云南分部	药店	0874-6200557	0874-6200557/...	曲靖分部	陆良	曲靖南区	曲靖南区06	2022/7/26 15:07	2007/6/14 0:00		25.028344	103.658571
A278	288	玉溪龙马路分店	玉溪市红塔区命官营路中段3幢11号	云南分部	药店	0877-2616499	0877-2616499	玉溪分部	玉溪	玉溪地区	玉溪02	2022/7/26 15:18	2007/6/19 0:00		24.363334	102.545644
A280	290	楚雄丰胜路分店	楚雄市开发区德江路与丰胜路交叉口丰胜小区8-5地	云南分部	药店	0878-3398468	0878-3398468	楚雄分部	楚雄	楚雄二区	楚雄二区01	2022/7/26 15:08	2007/6/28 0:00		25.046039	101.525784
A281	291	蒙自人民东路分店	蒙自县人民东路云丰小区3幢1-4号商铺	云南分部	药店	0873-3657068	0873-3657068	红河分部	蒙自	红河一区	红河一区01	2022/10/20 17:37	2007/6/29 0:00		23.368326	103.404436
A282	292	蒙自新世纪步行街分店	蒙自锦华路东侧世纪花园小区23幢6单元1层75、76、77号	云南分部	药店	0873-3733409	0873-3733409	红河分部	蒙自	红河一区	红河一区07	2022/10/20 17:36	2007/6/30 0:00		23.358949	103.397142
A283	293	江东小康城分店	昆明市江东小康城D座1单元102号	云南分部	药店	0871-65885963	0871-65885963	昆明一部	昆明	昆明北区	昆明北区01	2022/7/26 15:05	2007/7/2 0:00		25.097748	102.734921
A288	298	大理正阳时代分店	云南省大理白族自治州大理市下关正阳时代广场22幢1层Z7-19,Z7-20，Z7-1号	云南分部	药店	0872-2114040	0872-2114040	大理分部	大理	大理北区	大理北区02	2022/7/26 15:17	2007/7/6 0:00		25.58778	100.213935
A289	299	曲靖南关村分店	曲靖职中路中段临街商铺	云南分部	药店	0874-3215779	0874-3337267	曲靖分部	曲靖	曲靖南区	曲靖南区02	2022/7/26 15:20	2007/7/18 0:00		25.478919	103.795752
A290	300	蒙自世纪花园分店	蒙自市锦华路东侧世纪花园小区21幢1单元1层8-9号	云南分部	药店	0873-3733839	0873-3733839	红河分部	蒙自	红河一区	红河一区02	2022/10/24 9:27	2007/7/18 0:00		23.362159	103.396017
A292	777	绵阳御景名城店	绵阳市高水南街平久花园18-19#门面	四川分部	药店	0816-2313931	0816-2313931	四川分部	绵阳	绵阳地区	绵阳01	2022/7/26 15:05	2007/7/21 0:00		31.489868	104.706071
